Short Leg Strike,Short Leg Premium,Short Leg Volume,Short Leg Open Interest,Long Leg Strike,Long Leg Premium,Margin Requirement,Net Premium,Return (%),Distance (%),Daily Distance (%),Days to Expiration,Business Days to Expiration,Expiration Date,Last Trade (Short Leg),Last Trade (Long Leg),IV (Short Leg),IV (Long Leg)
157.0,1.12,516.0,4937.0,158.0,1.01,1.0,0.11,11.0,18.71,0.51,37,28,2025-02-21,2025-01-14 18:28:37+00:00,2025-01-14 18:21:40+00:00,0.43,0.43
148.0,0.84,4171.0,9800.0,149.0,0.73,1.0,0.11,11.0,11.9,0.74,16,13,2025-01-31,2025-01-14 18:31:57+00:00,2025-01-14 18:30:43+00:00,0.44,0.44
147.0,0.95,928.0,3496.0,148.0,0.84,1.0,0.11,11.0,11.14,0.7,16,13,2025-01-31,2025-01-14 18:28:26+00:00,2025-01-14 18:31:57+00:00,0.44,0.44
147.0,0.95,928.0,3496.0,149.0,0.73,2.0,0.22,11.0,11.14,0.7,16,13,2025-01-31,2025-01-14 18:28:26+00:00,2025-01-14 18:30:43+00:00,0.44,0.44
150.0,1.12,4197.0,7528.0,152.5,0.85,2.5,0.27,10.8,13.41,0.58,23,18,2025-02-07,2025-01-14 18:30:14+00:00,2025-01-14 18:24:33+00:00,0.44,0.44
146.0,1.05,1097.0,4501.0,149.0,0.73,3.0,0.32,10.67,10.39,0.65,16,13,2025-01-31,2025-01-14 18:22:32+00:00,2025-01-14 18:30:43+00:00,0.44,0.44
146.0,1.05,1097.0,4501.0,148.0,0.84,2.0,0.21,10.5,10.39,0.65,16,13,2025-01-31,2025-01-14 18:22:32+00:00,2025-01-14 18:31:57+00:00,0.44,0.44
148.0,1.31,544.0,1934.0,152.5,0.85,4.5,0.46,10.22,11.9,0.52,23,18,2025-02-07,2025-01-14 18:21:13+00:00,2025-01-14 18:24:33+00:00,0.44,0.44
162.5,1.9,36.0,164.0,165.0,1.65,2.5,0.25,10.0,22.86,0.52,44,33,2025-02-28,2025-01-14 18:27:49+00:00,2025-01-14 18:30:16+00:00,0.53,0.53
146.0,1.05,1097.0,4501.0,147.0,0.95,1.0,0.1,10.0,10.39,0.65,16,13,2025-01-31,2025-01-14 18:22:32+00:00,2025-01-14 18:28:26+00:00,0.44,0.44
147.0,0.95,928.0,3496.0,150.0,0.65,3.0,0.3,10.0,11.14,0.7,16,13,2025-01-31,2025-01-14 18:28:26+00:00,2025-01-14 18:31:28+00:00,0.44,0.44
146.0,1.05,1097.0,4501.0,150.0,0.65,4.0,0.4,10.0,10.39,0.65,16,13,2025-01-31,2025-01-14 18:22:32+00:00,2025-01-14 18:31:28+00:00,0.44,0.44
148.0,0.84,4171.0,9800.0,150.0,0.65,2.0,0.19,9.5,11.9,0.74,16,13,2025-01-31,2025-01-14 18:31:57+00:00,2025-01-14 18:31:28+00:00,0.44,0.44
148.0,1.31,544.0,1934.0,150.0,1.12,2.0,0.19,9.5,11.9,0.52,23,18,2025-02-07,2025-01-14 18:21:13+00:00,2025-01-14 18:30:14+00:00,0.44,0.44
157.0,1.12,516.0,4937.0,159.0,0.94,2.0,0.18,9.0,18.71,0.51,37,28,2025-02-21,2025-01-14 18:28:37+00:00,2025-01-14 18:21:43+00:00,0.43,0.44
162.0,0.76,353.0,36038.0,163.0,0.67,1.0,0.09,9.0,22.49,0.61,37,28,2025-02-21,2025-01-14 18:29:23+00:00,2025-01-14 18:18:40+00:00,0.44,0.44
148.0,1.31,544.0,1934.0,155.0,0.68,7.0,0.63,9.0,11.9,0.52,23,18,2025-02-07,2025-01-14 18:21:13+00:00,2025-01-14 18:30:00+00:00,0.44,0.45
162.5,1.9,36.0,164.0,170.0,1.24,7.5,0.66,8.8,22.86,0.52,44,33,2025-02-28,2025-01-14 18:27:49+00:00,2025-01-14 18:30:58+00:00,0.53,0.54
150.0,1.12,4197.0,7528.0,155.0,0.68,5.0,0.44,8.8,13.41,0.58,23,18,2025-02-07,2025-01-14 18:30:14+00:00,2025-01-14 18:30:00+00:00,0.44,0.45
146.0,1.05,1097.0,4501.0,152.5,0.49,6.5,0.56,8.62,10.39,0.65,16,13,2025-01-31,2025-01-14 18:22:32+00:00,2025-01-14 18:31:21+00:00,0.44,0.45
152.5,1.17,313.0,1229.0,157.5,0.75,5.0,0.42,8.4,15.3,0.51,30,23,2025-02-14,2025-01-14 18:18:43+00:00,2025-01-14 18:04:41+00:00,0.44,0.44
147.0,0.95,928.0,3496.0,152.5,0.49,5.5,0.46,8.36,11.14,0.7,16,13,2025-01-31,2025-01-14 18:28:26+00:00,2025-01-14 18:31:21+00:00,0.44,0.45
165.0,1.65,380.0,1440.0,170.0,1.24,5.0,0.41,8.2,24.75,0.56,44,33,2025-02-28,2025-01-14 18:30:16+00:00,2025-01-14 18:30:58+00:00,0.53,0.54
157.0,1.12,516.0,4937.0,160.0,0.88,3.0,0.24,8.0,18.71,0.51,37,28,2025-02-21,2025-01-14 18:28:37+00:00,2025-01-14 18:31:57+00:00,0.43,0.44
149.0,0.73,628.0,3312.0,150.0,0.65,1.0,0.08,8.0,12.66,0.79,16,13,2025-01-31,2025-01-14 18:30:43+00:00,2025-01-14 18:31:28+00:00,0.44,0.44
162.5,1.9,36.0,164.0,175.0,0.91,12.5,0.99,7.92,22.86,0.52,44,33,2025-02-28,2025-01-14 18:27:49+00:00,2025-01-14 18:21:22+00:00,0.53,0.54
148.0,0.84,4171.0,9800.0,152.5,0.49,4.5,0.35,7.78,11.9,0.74,16,13,2025-01-31,2025-01-14 18:31:57+00:00,2025-01-14 18:31:21+00:00,0.44,0.45
146.0,1.05,1097.0,4501.0,155.0,0.36,9.0,0.69,7.67,10.39,0.65,16,13,2025-01-31,2025-01-14 18:22:32+00:00,2025-01-14 18:25:48+00:00,0.44,0.46
157.0,1.12,516.0,4937.0,163.0,0.67,6.0,0.45,7.5,18.71,0.51,37,28,2025-02-21,2025-01-14 18:28:37+00:00,2025-01-14 18:18:40+00:00,0.43,0.44
149.0,1.12,1050.0,1245.0,157.5,0.49,8.5,0.63,7.41,12.66,0.55,23,18,2025-02-07,2025-01-14 17:34:35+00:00,2025-01-14 17:26:16+00:00,0.44,0.45
165.0,1.65,380.0,1440.0,175.0,0.91,10.0,0.74,7.4,24.75,0.56,44,33,2025-02-28,2025-01-14 18:30:16+00:00,2025-01-14 18:21:22+00:00,0.53,0.54
155.0,1.0,341.0,5192.0,160.0,0.63,5.0,0.37,7.4,17.19,0.57,30,23,2025-02-14,2025-01-14 18:28:46+00:00,2025-01-14 18:28:04+00:00,0.44,0.45
147.0,0.95,928.0,3496.0,155.0,0.36,8.0,0.59,7.38,11.14,0.7,16,13,2025-01-31,2025-01-14 18:28:26+00:00,2025-01-14 18:25:48+00:00,0.44,0.46
148.0,1.31,544.0,1934.0,160.0,0.43,12.0,0.88,7.33,11.9,0.52,23,18,2025-02-07,2025-01-14 18:21:13+00:00,2025-01-14 18:28:54+00:00,0.44,0.46
157.0,1.12,516.0,4937.0,162.0,0.76,5.0,0.36,7.2,18.71,0.51,37,28,2025-02-21,2025-01-14 18:28:37+00:00,2025-01-14 18:29:23+00:00,0.43,0.44
152.5,1.17,313.0,1229.0,160.0,0.63,7.5,0.54,7.2,15.3,0.51,30,23,2025-02-14,2025-01-14 18:18:43+00:00,2025-01-14 18:28:04+00:00,0.44,0.45
158.0,1.01,2513.0,18327.0,159.0,0.94,1.0,0.07,7.0,19.46,0.53,37,28,2025-02-21,2025-01-14 18:21:40+00:00,2025-01-14 18:21:43+00:00,0.43,0.44
160.0,0.88,24004.0,100489.0,163.0,0.67,3.0,0.21,7.0,20.97,0.57,37,28,2025-02-21,2025-01-14 18:31:57+00:00,2025-01-14 18:18:40+00:00,0.44,0.44
150.0,1.12,4197.0,7528.0,160.0,0.43,10.0,0.69,6.9,13.41,0.58,23,18,2025-02-07,2025-01-14 18:30:14+00:00,2025-01-14 18:28:54+00:00,0.44,0.46
157.0,1.12,516.0,4937.0,164.0,0.64,7.0,0.48,6.86,18.71,0.51,37,28,2025-02-21,2025-01-14 18:28:37+00:00,2025-01-14 18:21:19+00:00,0.43,0.44
148.0,0.84,4171.0,9800.0,155.0,0.36,7.0,0.48,6.86,11.9,0.74,16,13,2025-01-31,2025-01-14 18:31:57+00:00,2025-01-14 18:25:48+00:00,0.44,0.46
149.0,0.73,628.0,3312.0,152.5,0.49,3.5,0.24,6.86,12.66,0.79,16,13,2025-01-31,2025-01-14 18:30:43+00:00,2025-01-14 18:31:21+00:00,0.44,0.45
152.5,1.17,313.0,1229.0,155.0,1.0,2.5,0.17,6.8,15.3,0.51,30,23,2025-02-14,2025-01-14 18:18:43+00:00,2025-01-14 18:28:46+00:00,0.44,0.44
152.5,0.85,1586.0,3198.0,155.0,0.68,2.5,0.17,6.8,15.3,0.67,23,18,2025-02-07,2025-01-14 18:24:33+00:00,2025-01-14 18:30:00+00:00,0.44,0.45
158.0,1.01,2513.0,18327.0,163.0,0.67,5.0,0.34,6.8,19.46,0.53,37,28,2025-02-21,2025-01-14 18:21:40+00:00,2025-01-14 18:18:40+00:00,0.43,0.44
159.0,0.94,2024.0,15684.0,163.0,0.67,4.0,0.27,6.75,20.22,0.55,37,28,2025-02-21,2025-01-14 18:21:43+00:00,2025-01-14 18:18:40+00:00,0.44,0.44
146.0,1.05,1097.0,4501.0,157.5,0.28,11.5,0.77,6.7,10.39,0.65,16,13,2025-01-31,2025-01-14 18:22:32+00:00,2025-01-14 18:27:56+00:00,0.44,0.47
170.0,1.24,403.0,863.0,175.0,0.91,5.0,0.33,6.6,28.53,0.65,44,33,2025-02-28,2025-01-14 18:30:58+00:00,2025-01-14 18:21:22+00:00,0.54,0.54
152.5,1.17,313.0,1229.0,162.5,0.51,10.0,0.66,6.6,15.3,0.51,30,23,2025-02-14,2025-01-14 18:18:43+00:00,2025-01-14 18:22:41+00:00,0.44,0.45
